id,canidate,created,text,likes,retweets
721480261737680897,Hillary Clinton,Sat Apr 16 23:27:53 +0000 2016,"A new friend in Brooklyn.
https://t.co/5v8Ka03njc",2882,918
721446117720858625,Hillary Clinton,Sat Apr 16 21:12:12 +0000 2016,"""If a young man believes that he might be a senator or president...you don't have to tell them not to join a gang."" https://t.co/qMSMOfFETT",1238,497
721383154834141184,Hillary Clinton,Sat Apr 16 17:02:01 +0000 2016,About 90 people are killed by guns every day in America. We can't accept that as normal. #StopGunViolence https://t.co/KQvAe0orw3,2808,1398
721368862298509312,Hillary Clinton,Sat Apr 16 16:05:13 +0000 2016,"Behind the scenes on the campaign with YouTube star @raymondbraun.
https://t.co/xme0HojluC",1311,472
721353122770247680,Hillary Clinton,Sat Apr 16 15:02:41 +0000 2016,Latino households are more than twice as likely as white households to face severe housing cost burdens. https://t.co/dgAkEHG4mc,994,540
721335026772783104,Hillary Clinton,Sat Apr 16 13:50:46 +0000 2016,Kareem Abdul-Jabbar on Hillary: She can envision a better world and take the steps to make that vision a reality. https://t.co/yLIavueoBq,3325,1635
721159872985739265,Hillary Clinton,Sat Apr 16 02:14:46 +0000 2016,"It's time for us to say, ""enough is enough."" We have to protect families, not the gun lobby.
https://t.co/fo604pM1KN",2783,1403
721139139303841792,Hillary Clinton,Sat Apr 16 00:52:23 +0000 2016,Thinking of Boston as we remember the bombing 3 years ago. Your strength and resilience will always defeat acts of terror. #OneBostonDay -H,3703,1329
721136085435342848,Hillary Clinton,Sat Apr 16 00:40:15 +0000 2016,".@IAVA is right, Congress shouldn't cut GI Bill benefits. America should fulfill our commitment to our veterans. https://t.co/QviPHMiY00 -H",1130,557
721133437231366144,Hillary Clinton,Sat Apr 16 00:29:44 +0000 2016,"You can knock us down, but you can't keep us down.
We're always getting up. We're always moving forward.
https://t.co/kMBN4HegmF",2663,1348
721130809290334212,Hillary Clinton,Sat Apr 16 00:19:17 +0000 2016,"RT @Ann_OLeary: Californians can save on taxes with the #CalEITC, building on the federal EITC that has helped millions of families: https:…",0,126
721127790083448833,Hillary Clinton,Sat Apr 16 00:07:17 +0000 2016,A quarter of renters in the U.S. spend more than half their income on rent. We need to make housing more affordable. https://t.co/dgAkEHG4mc,1686,838
721110695341731841,Hillary Clinton,Fri Apr 15 22:59:22 +0000 2016,"In 1992, 75% of New York's prison population came from seven neighborhoods in NYC. @EAFNYC is changing that.
https://t.co/QoaXpigX7K",1526,743
721100285175660545,Hillary Clinton,Fri Apr 15 22:18:00 +0000 2016,"If you thought last night's debate was competitive...
https://t.co/mlNHhPRUI9",2589,1132
721092216848908288,Hillary Clinton,Fri Apr 15 21:45:56 +0000 2016,"This couple lost their daughter in the Aurora shooting. Now, they have to pay the gun dealer's legal fees.
https://t.co/FpyqLO5cCE",2110,1598
721077044486889473,Hillary Clinton,Fri Apr 15 20:45:39 +0000 2016,"We need a president who will take action on gun violence and stand with victims' families against the gun lobby.
https://t.co/KQvAe06Q7t",2770,1333
721068854042972160,Hillary Clinton,Fri Apr 15 20:13:06 +0000 2016,"A typical woman working full-time is paid just 79% of what a man makes, but there's no discount for being a woman.
https://t.co/SyJTSGS39z",2996,1548
721063171377786885,Hillary Clinton,Fri Apr 15 19:50:31 +0000 2016,RT @mayaharris_: Wage gap for NYC #womenofcolor is larger than the rest of the country. Time for #equalpay. https://t.co/Aj7SFplzIA https:/…,0,310
721046762304237569,Hillary Clinton,Fri Apr 15 18:45:19 +0000 2016,"""We have a presidential candidate by the name of Donald Trump saying that women should be punished."" https://t.co/kN7zI8YWby",1489,724
721037525733765120,Hillary Clinton,Fri Apr 15 18:08:37 +0000 2016,"RT @StephenAtHome: Monday's guest @HillaryClinton has a lot of big ideas, and also several smaller ones. #LSSC
https://t.co/659q1OBwAK",0,1053
721031626411622400,Hillary Clinton,Fri Apr 15 17:45:10 +0000 2016,Sen. Sanders couldn't name a time donations influenced Hillary—because there are none. #DemDebate (via @nowthisnews) https://t.co/4UkN6Tk90a,2924,1531
721011387271618560,Hillary Clinton,Fri Apr 15 16:24:45 +0000 2016,RT @albamonica: HRC joins a game of dominoes at a senior center in East Harlem https://t.co/3tYGvZ1tDv,0,1107
721001819183452160,Hillary Clinton,Fri Apr 15 15:46:43 +0000 2016,RT @dominiclowell: So proud of the many students taking part in the @GLSEN #DayofSilence today and fighting to end anti-LGBT bullying and h…,0,180
720985454477230080,Hillary Clinton,Fri Apr 15 14:41:42 +0000 2016,"A record of results, from taking on the gun lobby to securing health care for millions of kids. https://t.co/8cVshvwDk5 #DemDebate",1627,698
720964183009988608,Hillary Clinton,Fri Apr 15 13:17:10 +0000 2016,"Women's rights aren't a ""distraction."" They're at the heart of who we are—and we need to defend them. https://t.co/sbJ3ooWAH3",4946,2402
720827184495984640,Hillary Clinton,Fri Apr 15 04:12:47 +0000 2016,RT @billclinton: New Yorkers know the @HillaryClinton I've known for 45 years—always asking “What can I do to make it better?” #ImWithHer,0,2069
720820593420058624,Hillary Clinton,Fri Apr 15 03:46:36 +0000 2016,One candidate delivers catchy lines—the other delivers results. Add your name to say you're with Hillary: https://t.co/15QJBF9ZC6 #DemDebate,2954,1121
720814168715214848,Hillary Clinton,Fri Apr 15 03:21:04 +0000 2016,"If we work together, we can change history. Chip in today and get your sticker: https://t.co/cL3FHzWPJm https://t.co/Hp6ZFOcPMo",1401,499
720813394278944769,Hillary Clinton,Fri Apr 15 03:17:59 +0000 2016,RT if you're standing with Hillary tonight. #DemDebate https://t.co/HTPYX8cnnJ,6256,5788
720812281941135365,Hillary Clinton,Fri Apr 15 03:13:34 +0000 2016,"""Together, we won't just make promises we can't keep—we'll deliver results that will improve the lives of the people of America."" —Hillary",3185,1525
