id,canidate,created,text,likes,retweets
721492180519501825,John Kasich,Sun Apr 17 00:15:15 +0000 2016,RT @CNNSotu: Watch @DanaBashCNN's exclusive interview with @JohnKasich ahead of the New York primary tomorrow on #CNNSOTU https://t.co/MKdc…,0,33
721441509782913024,John Kasich,Sat Apr 16 20:53:54 +0000 2016,.@GovSandoval knows defeating Hillary Clinton is essential. That's why he's endorsed John Kasich for president. https://t.co/8DY4Z7xwGP,471,193
721381124690325504,John Kasich,Sat Apr 16 16:53:57 +0000 2016,RT @RitaCosby: .@GovernorPataki will be on my @77WABCradio Sunday PM show about his new endorsement for @JohnKasich and their strategy for…,0,22
721380743411318785,John Kasich,Sat Apr 16 16:52:26 +0000 2016,Thank you Gov. @ButchOtter for your words of support! https://t.co/MW4astuU7r,86,26
721380266355384320,John Kasich,Sat Apr 16 16:50:32 +0000 2016,"Can you join our volunteers on the ground in Pennsylvania? 
Sign up today! https://t.co/LVAy38fhXS https://t.co/x5U7Qvie6c",61,20
721353233654886401,John Kasich,Sat Apr 16 15:03:07 +0000 2016,Our team out-hustled the other campaigns &amp; just secured the plurality of delegates that will represent IN at the convention. Strong work!,538,147
721098701326852096,John Kasich,Fri Apr 15 22:11:42 +0000 2016,NEW JOBS REPORT: Ohio was 1 of the top priv sector job creators last month. OH up 427k since Gov. Kasich took office https://t.co/M5ob6GYv1U,370,148
721075470796791808,John Kasich,Fri Apr 15 20:39:23 +0000 2016,RSVP today! #Kasich4Us https://t.co/Kk2Oq3nUtn https://t.co/OlqCsqzUJR,65,31
721075377255358464,John Kasich,Fri Apr 15 20:39:01 +0000 2016,RSVP today! #Kasich4Us https://t.co/Kk2Oq3nUtn https://t.co/dkdkxvWnRf,53,17
721054488010887168,John Kasich,Fri Apr 15 19:16:01 +0000 2016,Here's info on Gov. Kasich statewide initiative to help campuses w/ new strategies to fight against sexual violence. https://t.co/WhGKMPoChI,128,68
721054371635662848,John Kasich,Fri Apr 15 19:15:33 +0000 2016,John Kasich's last budget targeted $2 million to help stop sexual assaults on campuses. https://t.co/AMR1nzcpdU,101,45
721054302089965568,John Kasich,Fri Apr 15 19:15:16 +0000 2016,OH Alliance to End Sexual Violence thanked Gov. Kasich for providing 1st-ever state funding for rape-crisis centers. https://t.co/pBPITTXf3e,146,76
721054212927463425,John Kasich,Fri Apr 15 19:14:55 +0000 2016,"Victims needs to know we're doing everything we can to have their backs, and that's happening in Ohio under John Kasich's leadership. 3/3",195,60
721054141544591360,John Kasich,Fri Apr 15 19:14:38 +0000 2016,That's why John Kasich has worked so hard to provide campuses with the tools they need to make sure victims have the necessary support. 2/3,153,53
721054029376319488,John Kasich,Fri Apr 15 19:14:11 +0000 2016,"Only one person is at fault in a sexual assault, and that's the assailant. 1/3",228,106
721041820713619456,John Kasich,Fri Apr 15 18:25:41 +0000 2016,"Watch a live stream of Gov. Kasich's town hall in Utica, NY NOW at https://t.co/v07kY6WjCq.",49,9
