id,canidate,created,text,likes,retweets
722250882063200261,DJ KHALED,Tue Apr 19 02:30:03 +0000 2016,Fan luv I was very happy to see my fans ! New York thank u! Fan luv tomorrow I have a special… https://t.co/RFbAGd9nH9,39,12
722245584107790336,DJ KHALED,Tue Apr 19 02:09:00 +0000 2016,New York fan luv see u tomorrow ... Cloth talk   https://t.co/cMabmN7bn3,41,10
722244885751926785,DJ KHALED,Tue Apr 19 02:06:14 +0000 2016,Fan I want see my New York fan luv see u tomorrow  https://t.co/spjsYrS7cr,37,7
722244662929584128,DJ KHALED,Tue Apr 19 02:05:20 +0000 2016,RT @henrygonzalezj1: We The Best Everything Limited Eddition @djkhaled T-Shirt You Already Know Today Was Major Major… https://t.co/8nbcNWs…,0,5
722244502459654145,DJ KHALED,Tue Apr 19 02:04:42 +0000 2016,RT @RayTx33: @djkhaled major key ! Don't give up told yah I'll meet him told yah I'll be on his snap chat https://t.co/TmiBJcUQaS,0,8
722237824154607616,DJ KHALED,Tue Apr 19 01:38:10 +0000 2016,FANLUV at 12 oclk noon Tuesday aka tomorrow  go to my snap chat IG and Twitter I have a special amazing announcement a major 🔑,52,14
722232734299643904,DJ KHALED,Tue Apr 19 01:17:56 +0000 2016,FANLUV at 12 oclk noon go to my snap chat IG and Twitter I have a special amazing announcement a… https://t.co/ZanikzzLgJ,62,23
722211894547902464,DJ KHALED,Mon Apr 18 23:55:08 +0000 2016,Tuesday at 12 oclk noon I  have a amazing announcement .. Put it this way im see #djkhaled… https://t.co/JgPDE6vafE,51,18
722203340210352128,DJ KHALED,Mon Apr 18 23:21:08 +0000 2016,New York Fan Luv! Meet me here tomorrow  #CRWN convo w/ @ElliottWilson  @nyuskirball! https://t.co/CeNhkLRIj0 https://t.co/YwQbHWkzKJ,67,20
722202487810363392,DJ KHALED,Mon Apr 18 23:17:45 +0000 2016,Be ready alert https://t.co/jvK3Ic7D6f,129,43
722202322772877312,DJ KHALED,Mon Apr 18 23:17:06 +0000 2016,RT @PattieMcCoy: It was an HONOR to meet @djkhaled today! Thank u so much for taking time out to meet fan luv &amp; blessing us everyday! https…,0,15
722202097215803392,DJ KHALED,Mon Apr 18 23:16:12 +0000 2016,RT @MissInfoTV: RT @Missinfo: #DJKhaled shut down Soho! His #WeTheBest pop-up shop is #BOOMIN 🔑🎉🙀🏆🍓 @ Stadium Goods https://t.co/dR5QaLrTY8,0,8
722201352496160768,DJ KHALED,Mon Apr 18 23:13:14 +0000 2016,New York i want see all my New York fans here Tuesday  https://t.co/KXWELQfGfF,40,16
722201026938454016,DJ KHALED,Mon Apr 18 23:11:57 +0000 2016,RT @OverTimeGrind: #NYC shuts down soho for @djkhaled's pop-up shop 🔑 by revolttv https://t.co/3ea4RMgaJS,0,14
722201003077079041,DJ KHALED,Mon Apr 18 23:11:51 +0000 2016,I have the best fans in world  https://t.co/JFPP8YGQ3G,64,22
722200818418626560,DJ KHALED,Mon Apr 18 23:11:07 +0000 2016,🔑 https://t.co/Jes3uCw3K5,40,11
722175518410477568,DJ KHALED,Mon Apr 18 21:30:35 +0000 2016,U see me I'm the one getting out the sprinter wit the black we the best tee on🙏🏽🔑 Right now at… https://t.co/U8wCkRzZvI,69,30
722173157013123072,DJ KHALED,Mon Apr 18 21:21:12 +0000 2016,RT @HOT97: At @djkhaled's pop up shop @stadiumgoods.WOW. New York needs to bring this love to #SUMMERJAM… https://t.co/LwsOJHquVJ,0,14
722156404577071105,DJ KHALED,Mon Apr 18 20:14:38 +0000 2016,im on my way to see my New York fans !!!  I'm on my way! New York ! Fan luv I see u! Fan luv… https://t.co/2kZlZfksxy,63,20
722156266412490753,DJ KHALED,Mon Apr 18 20:14:05 +0000 2016,I have the best fans in world ! #djkhaled  #fanluv @WeTheBestMusic @Epic_Records @RocNation @AppleMusic  https://t.co/YvxMn2V9z9,47,20
722155220319543296,DJ KHALED,Mon Apr 18 20:09:56 +0000 2016,@wethebestmusic #djkhaled I'm on my way! New York ! Fan luv I see u! Fan luv meet me now Stadium… https://t.co/D9dxX3J1pa,12,3
722154806039703552,DJ KHALED,Mon Apr 18 20:08:17 +0000 2016,I'm about to pull up @WeTheBestMusic  https://t.co/iiDAd1FULU,87,40
722154513772240896,DJ KHALED,Mon Apr 18 20:07:07 +0000 2016,Fan luv im so close about pull up @wethebestmusic meet me now New York Stadium Goods 47 Howard… https://t.co/ZniAzSSDfN,49,15
722143025347104768,DJ KHALED,Mon Apr 18 19:21:28 +0000 2016,"RT @AngeloCatbug: @djkhaled drawing you as inspiration for trustworthiness 👌🏼🔑 
Show trustworthiness, but don't trust they🚫!! https://t.co/…",0,22
722142777182695425,DJ KHALED,Mon Apr 18 19:20:29 +0000 2016,I'm on my way NY MEET Asap bless up  https://t.co/JFkmGmQNQ9,43,8
722142485716287488,DJ KHALED,Mon Apr 18 19:19:20 +0000 2016,RT @ElliottWilson: Another one. 🔁 @djkhaled via Instagram https://t.co/jKD8Un29yr https://t.co/pAjwBKUGSE,0,14
722142454791675905,DJ KHALED,Mon Apr 18 19:19:12 +0000 2016,See u soon  https://t.co/PPPoQDQMZP,46,10
722142411544268800,DJ KHALED,Mon Apr 18 19:19:02 +0000 2016,See u soon 🙏🏽 https://t.co/yCao9eQnkT,39,12
722134244076728325,DJ KHALED,Mon Apr 18 18:46:35 +0000 2016,Today! New York come take some pics wit me come snap wit me 4 oclk Stadium Goods 47 Howard… https://t.co/89muWn3CLF,41,14
722133206280114176,DJ KHALED,Mon Apr 18 18:42:27 +0000 2016,RT @SneakerNews: Meet @djkhaled today for Sneaker News Vol. 3 signing and We The Best pop-up at @StadiumGoods. 4-7pm. 47 Howard St. https:/…,0,31
722132963090112512,DJ KHALED,Mon Apr 18 18:41:29 +0000 2016,RT @MissInfoTV: RT @djkhaled: New York fan luv see u today ! 4oclk https://t.co/dGqOz0pMdh,0,10
722132936984805377,DJ KHALED,Mon Apr 18 18:41:23 +0000 2016,RT @MissInfoTV: RT @djkhaled: New York  fan luv meet me today 4 oclk Stadium Goods 47 Howard Street https://t.co/ozrXAe1ITo,0,20
722132312117354496,DJ KHALED,Mon Apr 18 18:38:54 +0000 2016,New York  fan luv meet me today 4 oclk Stadium Goods 47 Howard Street https://t.co/okIHrM5R2s,100,35
722131747320774656,DJ KHALED,Mon Apr 18 18:36:39 +0000 2016,New York fan luv see u today ! 4oclk https://t.co/c7ugc8yufQ,34,9
722131480479186945,DJ KHALED,Mon Apr 18 18:35:36 +0000 2016,See u at 4 oclk  https://t.co/bXcqjuoCL1,31,10
722128968569266176,DJ KHALED,Mon Apr 18 18:25:37 +0000 2016,🙏🏽🔑 https://t.co/lKJI0QWP8r,49,21
722123533539794945,DJ KHALED,Mon Apr 18 18:04:01 +0000 2016,FAN LUV make sure you send me your questions to answer at #CRWN tomorrow night on twitter w/ the hashtag #CRWNKhaled,99,45
722111153753702401,DJ KHALED,Mon Apr 18 17:14:49 +0000 2016,I will never stop! Yull see ! 🙏🏽🔑🦁 @wethebestmusic https://t.co/5sMY1GDkxs,54,20
722110542014451712,DJ KHALED,Mon Apr 18 17:12:24 +0000 2016,Fan luv give this message to my friend Ellen @Theellenshow 🙏🏽🔑 #wethebest https://t.co/6Mr6V1Nlal,191,65
722090170355486720,DJ KHALED,Mon Apr 18 15:51:27 +0000 2016,🔑 https://t.co/ccYIffwWa0,48,12
722077644242698240,DJ KHALED,Mon Apr 18 15:01:40 +0000 2016,@wethebestmusic @epic_records #MAJOR🔑 the album soon come https://t.co/OMltwGuykM,12,4
722071714318782465,DJ KHALED,Mon Apr 18 14:38:06 +0000 2016,So much amazing  🎼🎼🎼🎼 soon come @WeTheBestMusic 🙏🏽🔑,116,39
