id,canidate,created,text,likes,retweets
721001527838543872,Hilary Parker,Fri Apr 15 15:45:34 +0000 2016,@Peachy_DG well if you read the article instead of trolling strangers you would note that many writers referenced were not white,0,0
720373290217267200,Hilary Parker,Wed Apr 13 22:09:10 +0000 2016,"RT @bdleavitt: Listen to ""Not So Standard Deviations"" podcast @hspter @rdpeng Feels like chatting with nice and nerdy stats friends https:/…",0,6
720345873683591168,Hilary Parker,Wed Apr 13 20:20:14 +0000 2016,@stefanbache please bring some to useR!!,1,0
720311343006363648,Hilary Parker,Wed Apr 13 18:03:01 +0000 2016,@stefanbache what is that horse sticker??,5,0
720294803863248896,Hilary Parker,Wed Apr 13 16:57:18 +0000 2016,@emhrt_ @rdpeng you are right that FB does embedded model,1,0
720294739023654912,Hilary Parker,Wed Apr 13 16:57:02 +0000 2016,"@emhrt_ @rdpeng we'll see when I get there, but I think they do more of the consulting model. Etsy was central w/ consulting model (thanks!)",2,0
720286324620533761,Hilary Parker,Wed Apr 13 16:23:36 +0000 2016,@emhrt_ @rdpeng would be interested to hear success stories from embedded teams!,2,0
720267593458655232,Hilary Parker,Wed Apr 13 15:09:10 +0000 2016,@pocketsupport done! thanks =),0,0
720202074324135936,Hilary Parker,Wed Apr 13 10:48:49 +0000 2016,"""Is that the kind of culture we want to live in?

Is that the web we want?"" https://t.co/Kchps1vnTt",3,4
720200535509495808,Hilary Parker,Wed Apr 13 10:42:43 +0000 2016,"Finally, a news org that rises above the unhelpful ""don't feed the trolls"" response to online abuse  https://t.co/EYy3bYBFqk",9,1
720200145774714880,Hilary Parker,Wed Apr 13 10:41:10 +0000 2016,"@Pocket I'd love to see highlighting available, especially for recommendations when you have multiple passages you want to share!",0,0
719443997966467072,Hilary Parker,Mon Apr 11 08:36:30 +0000 2016,@arnicas southern Spain =),4,0
719441879041843200,Hilary Parker,Mon Apr 11 08:28:05 +0000 2016,@ChrisA9 in Valencia now! Contemplating a move =),0,0
719084066709102592,Hilary Parker,Sun Apr 10 08:46:16 +0000 2016,At the airport lounge in Zurich on my way to vacation (!!!) and first thing I hear is 2 guys talking about Fisher Information and PCA 😐,92,1
718921166610673666,Hilary Parker,Sat Apr 09 21:58:57 +0000 2016,"RT @catherinezh: Side note: if you're at #rstatsnyc &amp; work in transportation, travel, etc, find me! I want to talk data w/ you #airlinenerd…",0,2
718888606090309633,Hilary Parker,Sat Apr 09 19:49:34 +0000 2016,👍👍👍 by @kwbroman https://t.co/DMsX8vjTYH https://t.co/7iR2wj1wdI,53,20
718819996181393408,Hilary Parker,Sat Apr 09 15:16:56 +0000 2016,@BrashEQLibrium @evergreendata it's def true.. That tension will always exist. But better to add context and be there for IRL convo too,0,0
718803671509807104,Hilary Parker,Sat Apr 09 14:12:04 +0000 2016,"""It’s easy to call out hypocrisy when, as a society, we’re equally quick to champion Edward Snowden with one han..."" https://t.co/lxMBfFf2vN",7,4
718791821384658944,Hilary Parker,Sat Apr 09 13:24:59 +0000 2016,@arnicas @evergreendata yes please!,1,0
718791228490391552,Hilary Parker,Sat Apr 09 13:22:38 +0000 2016,I mentioned this great blog post by @evergreendata in my #rstatsnyc talk! https://t.co/wrNwkFBqmw,61,22
718790625135632385,Hilary Parker,Sat Apr 09 13:20:14 +0000 2016,@kamalesh no that was it! I just think models are easier to fit and explain in the context of a report vs a dashboard,0,0
718773096753315841,Hilary Parker,Sat Apr 09 12:10:35 +0000 2016,@kamalesh I'll mull on this and try to find a good resource!,0,0
718772859963895808,Hilary Parker,Sat Apr 09 12:09:38 +0000 2016,"@kamalesh thanks!! I meant using a semiparametric model instead of Y/Y. Idea is that Y/Y is a parameter, ""trend line"" can remain undefined",0,0
718755885913350144,Hilary Parker,Sat Apr 09 11:02:11 +0000 2016,@kwbroman @jhubiostat yay!!!!,2,0
718554296023969792,Hilary Parker,Fri Apr 08 21:41:08 +0000 2016,"RT @HarlanH: .@hspter argues Reports &gt; Dashboards, because can provide *context*. #rstatsnyc",0,2
718520410942390272,Hilary Parker,Fri Apr 08 19:26:30 +0000 2016,"Oooh nice, different options for K in K-means clustering using broom to visualize fit https://t.co/16BCDcRjHf",32,16
718518520095576064,Hilary Parker,Fri Apr 08 19:18:59 +0000 2016,.@drob presenting broom at #rstatsnyc! https://t.co/dwmP1utrX9,19,2
718188789940776960,Hilary Parker,Thu Apr 07 21:28:45 +0000 2016,"@rdpeng @NSSDeviations @SoundCloud heh, good title choice",3,0
717886455155187712,Hilary Parker,Thu Apr 07 01:27:23 +0000 2016,@dcbigjohn buuurn,0,0
717763263233187841,Hilary Parker,Wed Apr 06 17:17:52 +0000 2016,RT @drob: Pride and Prejudice and Donald Trump: per-sentence sentiment analysis. Amusing! #rstats https://t.co/wfq3riySDX https://t.co/pa1r…,0,15
717738650658844672,Hilary Parker,Wed Apr 06 15:40:03 +0000 2016,RT @rstatsnyc: @hspter @NausicaaDist Yes it is! And we are giving away some ofthe amazing creatons.,0,1
717738633906823168,Hilary Parker,Wed Apr 06 15:39:59 +0000 2016,@rstatsnyc @NausicaaDist !!!,1,0
717737694932115456,Hilary Parker,Wed Apr 06 15:36:16 +0000 2016,Is that @NausicaaDist I see as a sponsor for @rstatsnyc?? https://t.co/hP58qI76vz,5,1
717584494488854528,Hilary Parker,Wed Apr 06 05:27:30 +0000 2016,"@aaronblackshear @rebeccastob yikes, that is several years of work right?",0,0
