id,canidate,created,text,likes,retweets
721143149645537281,KANYE WEST,Sat Apr 16 01:08:19 +0000 2016,I FEEL LIKE KOBE   https://t.co/WZnV0lMoXM,23608,10365
721098908051632129,KANYE WEST,Fri Apr 15 22:12:31 +0000 2016,Wes https://t.co/utUdOugetw,11158,3000
720479266970984448,KANYE WEST,Thu Apr 14 05:10:17 +0000 2016,https://t.co/fr6uKie04v,194736,113472
720438978655027201,KANYE WEST,Thu Apr 14 02:30:12 +0000 2016,At the God's last game https://t.co/eucluEFOFX,153100,76851
719336037068238848,KANYE WEST,Mon Apr 11 01:27:30 +0000 2016,I love this new A$AP FERG album!!!,55177,20559
718677450083999744,KANYE WEST,Sat Apr 09 05:50:31 +0000 2016,I also wanted to point out that it’s the first album to go number 1 off of streaming!!!,44221,13733
718677322635866114,KANYE WEST,Sat Apr 09 05:50:00 +0000 2016,I’m so happy that you guys like the music…  I’m working on the tour designs now…,54428,16550
718676669221965824,KANYE WEST,Sat Apr 09 05:47:24 +0000 2016,Thank you to everybody who made The Life of Pablo the number 1 album in the world!!!,79346,30133
717495871231942657,KANYE WEST,Tue Apr 05 23:35:20 +0000 2016,Tribe changed music forever,42569,23536
717490840239783937,KANYE WEST,Tue Apr 05 23:15:21 +0000 2016,His mother’s poem at the celebration brought me to tears.,18859,3810
717490677542731776,KANYE WEST,Tue Apr 05 23:14:42 +0000 2016,All respect prayers and love to Phife’s family    Thank you for so much inspiration,27927,7916
717150720324186112,KANYE WEST,Tue Apr 05 00:43:50 +0000 2016,"hey guys, do you like the fixed version of Wolves better?",47942,8206
716380291657367552,KANYE WEST,Sat Apr 02 21:42:25 +0000 2016,https://t.co/KPOw5uHa5t,20511,4596
716380100820754432,KANYE WEST,Sat Apr 02 21:41:40 +0000 2016,Royère doesn't make a Polar bear bed but the Polar bear couch is my favorite piece of furniture we own https://t.co/tSJgikAUmT,16711,3207
716377473387077635,KANYE WEST,Sat Apr 02 21:31:13 +0000 2016,and also my number one design rule of anything I do from shoes to music to homes is that Kim has to like it....,67670,24953
716377052346060801,KANYE WEST,Sat Apr 02 21:29:33 +0000 2016,plus when you sit on the platform your calf is sort of half on half off,11346,2541
716376699739328512,KANYE WEST,Sat Apr 02 21:28:09 +0000 2016,I love Rick Owens’ bed design but the back is too high for the beams and angle of the ceiling,12031,2878
716375879715139584,KANYE WEST,Sat Apr 02 21:24:54 +0000 2016,I've been trying to figure out the bed design for the master bedroom at our Hidden Hills compound... https://t.co/aEPqoBGY4b,22767,6276
715767777823485953,KANYE WEST,Fri Apr 01 05:08:31 +0000 2016,The Life of Pablo is now available for purchase https://t.co/xYu7lGJR7z https://t.co/mNTAUiie2V,47983,21494
715370936330010624,KANYE WEST,Thu Mar 31 02:51:36 +0000 2016,https://t.co/pRxeehJpmL,26072,14233
715370821368283136,KANYE WEST,Thu Mar 31 02:51:09 +0000 2016,And I love you like Kanye loves Kanye,200809,254281
715370747145953280,KANYE WEST,Thu Mar 31 02:50:51 +0000 2016,We still love Kanye,45097,36031
715370578757156864,KANYE WEST,Thu Mar 31 02:50:11 +0000 2016,That’s all it was Kanye,35714,23572
715370445646733312,KANYE WEST,Thu Mar 31 02:49:39 +0000 2016,Man that'd be so Kanye,46575,40087
715370347726553088,KANYE WEST,Thu Mar 31 02:49:16 +0000 2016,Called I Miss the Old Kanye,40009,28813
715370280542203904,KANYE WEST,Thu Mar 31 02:49:00 +0000 2016,What if Kanye made a song about Kanye,61825,54061
715369932977020929,KANYE WEST,Thu Mar 31 02:47:37 +0000 2016,I even had the pink polo I thought I was Kanye,42040,30833
715369797538734080,KANYE WEST,Thu Mar 31 02:47:05 +0000 2016,I  used to love Kanye,35201,23907
715369245148889089,KANYE WEST,Thu Mar 31 02:44:53 +0000 2016,I used to love Kanye,38467,28309
715369018849361920,KANYE WEST,Thu Mar 31 02:43:59 +0000 2016,And now I look and look around and there’s so many Kanyes,43224,29859
715368790184296448,KANYE WEST,Thu Mar 31 02:43:05 +0000 2016,It wasn’t any Kanyes,32512,22173
715368712765882369,KANYE WEST,Thu Mar 31 02:42:46 +0000 2016,See I invented Kanye,39794,28597
715367967027027968,KANYE WEST,Thu Mar 31 02:39:48 +0000 2016,I gotta say at that time I’d like to meet Kanye,39968,27652
715367881807147008,KANYE WEST,Thu Mar 31 02:39:28 +0000 2016,Chop up the beats Kanye,35275,25054
715367775506677762,KANYE WEST,Thu Mar 31 02:39:03 +0000 2016,I miss the sweet Kanye,41134,31598
715367476855443456,KANYE WEST,Thu Mar 31 02:37:52 +0000 2016,Spaz in the news Kanye,34708,24057
715367259783475201,KANYE WEST,Thu Mar 31 02:37:00 +0000 2016,The always rude Kanye,44357,31244
715366686036201477,KANYE WEST,Thu Mar 31 02:34:43 +0000 2016,The bad mood Kanye,40501,32311
715366605862092800,KANYE WEST,Thu Mar 31 02:34:24 +0000 2016,I hate the new Kanye,46446,38288
715366500996136960,KANYE WEST,Thu Mar 31 02:33:59 +0000 2016,Set on his goals Kanye,37737,27108
715366150415237120,KANYE WEST,Thu Mar 31 02:32:35 +0000 2016,Chop up the soul Kanye,39708,29253
715365970970329088,KANYE WEST,Thu Mar 31 02:31:52 +0000 2016,Straight from the Go Kanye,40059,28213
715365723372175362,KANYE WEST,Thu Mar 31 02:30:53 +0000 2016,I miss the old Kanye,86654,81296
715234848256827392,KANYE WEST,Wed Mar 30 17:50:50 +0000 2016,daytime https://t.co/pbwx4ehCiU,56732,10689
715194815588073475,KANYE WEST,Wed Mar 30 15:11:46 +0000 2016,you have to know who you are before you can become it.,104570,103218
715181992862584832,KANYE WEST,Wed Mar 30 14:20:49 +0000 2016,feels good to be home https://t.co/geVZcKV4gL,39346,6342
715181821659455488,KANYE WEST,Wed Mar 30 14:20:08 +0000 2016,Pablo did 250 Million... This is not regular! https://t.co/EbXEgUdM1M,39661,15437
714169281257320448,KANYE WEST,Sun Mar 27 19:16:39 +0000 2016,"Ultralight Prayer:  https://t.co/CiopQ9BbGl 
Happy Easter!",38333,26118
713165644829757441,KANYE WEST,Fri Mar 25 00:48:34 +0000 2016,Young Thug is super inspiring to me. Amazing artist!!! https://t.co/tMh438xqJ8,57165,41348
712431014509944834,KANYE WEST,Wed Mar 23 00:09:24 +0000 2016,I used an exclamation just to be an asshole and also to make a point! LOL,42511,23846
712430936365862912,KANYE WEST,Wed Mar 23 00:09:06 +0000 2016,And I used a period because contrary to popular belief I strongly dislike exclamation points!,28641,13773
712430696426565632,KANYE WEST,Wed Mar 23 00:08:09 +0000 2016,"On another note, I strongly dislike suit jackets. I used the word dislike because I hate the word hate.",37824,18757
712427204114837505,KANYE WEST,Tue Mar 22 23:54:16 +0000 2016,I love you.,72247,72456
712427093930467329,KANYE WEST,Tue Mar 22 23:53:50 +0000 2016,I have so much love in my heart and we just need the shot to create live breathe.,27774,14991
712426852254670848,KANYE WEST,Tue Mar 22 23:52:52 +0000 2016,I love you guys.,32456,16004
712426781245050880,KANYE WEST,Tue Mar 22 23:52:35 +0000 2016,Everyone has made mistakes. I just make them in public.,92790,62233
712426655017517056,KANYE WEST,Tue Mar 22 23:52:05 +0000 2016,Don't hide from the truth because it is the only light.,30591,28034
712426548155039752,KANYE WEST,Tue Mar 22 23:51:39 +0000 2016,Don't be mad at the truth. When you don't like me you are merely shooting the messenger.,20144,11270
712425953423695875,KANYE WEST,Tue Mar 22 23:49:18 +0000 2016,Don't be scared of the truth because we need to restart the human foundation in truth,18147,11414
712425717619937281,KANYE WEST,Tue Mar 22 23:48:21 +0000 2016,They think we're stupid. They do not know how to communicate.,15229,6878
712425602217865216,KANYE WEST,Tue Mar 22 23:47:54 +0000 2016,When companies doubt me they doubt us.,11968,3413
712425107306758145,KANYE WEST,Tue Mar 22 23:45:56 +0000 2016,That dreams will actualize. Dreams will manifest.,16532,9760
712424912997195776,KANYE WEST,Tue Mar 22 23:45:10 +0000 2016,I have a dream.,21615,15575
712424774891409410,KANYE WEST,Tue Mar 22 23:44:37 +0000 2016,Eventually the guys with real ideas not running a scam on the world will overcome.,19712,10554
712423918632566784,KANYE WEST,Tue Mar 22 23:41:13 +0000 2016,They can't kill us all.,22658,17643
712423834293559297,KANYE WEST,Tue Mar 22 23:40:52 +0000 2016,I speak yell scream directly at the old guard on behalf of the future.,10327,2838
712423750520721408,KANYE WEST,Tue Mar 22 23:40:32 +0000 2016,The Pablo pop up was almost a pop up of influence.,11108,2782
712423470668324864,KANYE WEST,Tue Mar 22 23:39:26 +0000 2016,We are here to make life better.,18838,13284
712423370734903296,KANYE WEST,Tue Mar 22 23:39:02 +0000 2016,And I promise the power is in the people and I will use the power given by the people to bring everything I have back to the people.,14914,4568
712423144951250944,KANYE WEST,Tue Mar 22 23:38:08 +0000 2016,I speak truth to power!!!,11708,4781
712422657107628033,KANYE WEST,Tue Mar 22 23:36:12 +0000 2016,I represent the dreamers.,22224,13788
712422518645202945,KANYE WEST,Tue Mar 22 23:35:39 +0000 2016,in the past the press/old guard and powers that be would have silenced me a long time ago but I have a form of social immunity.,11804,2792
712422043157983232,KANYE WEST,Tue Mar 22 23:33:45 +0000 2016,thank God for paps thank God for social media,12472,4031
712421497025986564,KANYE WEST,Tue Mar 22 23:31:35 +0000 2016,We will find freedom in truth as opposed to ridicule.,12530,5838
712421220180992002,KANYE WEST,Tue Mar 22 23:30:29 +0000 2016,We no longer have to be scared of the truth,15827,9422
712420933445750784,KANYE WEST,Tue Mar 22 23:29:21 +0000 2016,We will breathe clean air and exercise the first amendment.,13080,4874
712420683310108672,KANYE WEST,Tue Mar 22 23:28:21 +0000 2016,We will not get bullied by perception any longer. We will give our opinions.,15720,7685
712420565320077312,KANYE WEST,Tue Mar 22 23:27:53 +0000 2016,We will change that. We will rise.  We will have a voice.,12810,5834
712419558926262272,KANYE WEST,Tue Mar 22 23:23:53 +0000 2016,In Roman times the artist would contemplate proportions and colors. Now there is only one important color... Green,26053,12341
712419405620240386,KANYE WEST,Tue Mar 22 23:23:17 +0000 2016,Let's fight for our future. We can change everything.,24876,20547
712419056595427328,KANYE WEST,Tue Mar 22 23:21:53 +0000 2016,I stand with the utmost humility. We are so blessed!!! All praises and blessings to the families of people who never gave up on dreams,22589,7842
712417924896710656,KANYE WEST,Tue Mar 22 23:17:24 +0000 2016,I promise I will never let the people down. I want a better life for all!!! Pablo Pablo Pablo Pablo!,18773,7849
712417574655561728,KANYE WEST,Tue Mar 22 23:16:00 +0000 2016,This is the people the culture the dreams the future.,13091,5803
712417183473782785,KANYE WEST,Tue Mar 22 23:14:27 +0000 2016,but there is no other brand that could sell 1 million dollars of clothing in 2 days from 1 location!!!,17088,6492
712416940711669761,KANYE WEST,Tue Mar 22 23:13:29 +0000 2016,they called me crazy and pointed fingers,17546,10895
712416218158915584,KANYE WEST,Tue Mar 22 23:10:37 +0000 2016,Pablo in blood.,14839,7215
712414917303902209,KANYE WEST,Tue Mar 22 23:05:26 +0000 2016,every red print is our blood our debt our shame our struggle our pain our heart ache.,14826,5316
712413868950228992,KANYE WEST,Tue Mar 22 23:01:17 +0000 2016,Pablo in blood,21180,11460
710891191806648321,KANYE WEST,Fri Mar 18 18:10:42 +0000 2016,https://t.co/hBD6EwrYNu,28619,6505
710552827203076097,KANYE WEST,Thu Mar 17 19:46:10 +0000 2016,PABLO POP-UP SHOP MARCH 18-20 FRI 4-8 PM SAT SUN 12-8 PM AT 83 WOOSTER IN NYC https://t.co/j1t9Ng5JkO,26719,8971
709872072604913664,KANYE WEST,Tue Mar 15 22:41:05 +0000 2016,Fixing Wolves 2day... Worked on it for 3 weeks. Life Of Pablo is a living breathing changing creative expression. #contemporaryart,51298,19001
709832264503447552,KANYE WEST,Tue Mar 15 20:02:54 +0000 2016,Utah has eliminated homelessness by 91%,37792,13219
709410369459109888,KANYE WEST,Mon Mar 14 16:06:26 +0000 2016,Non artist trying to grab the paint brush...,29597,17282
709409643387297792,KANYE WEST,Mon Mar 14 16:03:33 +0000 2016,My tweets are a form of contemporary art only compromised by people trying to tell me what to tweet and not to tweet...,45340,28490
709408940908486657,KANYE WEST,Mon Mar 14 16:00:46 +0000 2016,no one can ask me or try to tell me what to Instagram... It's my art...,46835,22470
709408385163268097,KANYE WEST,Mon Mar 14 15:58:33 +0000 2016,on another note... I was thinking about getting an Instagram but only on one condition......,32654,9095
709407505835753472,KANYE WEST,Mon Mar 14 15:55:04 +0000 2016,%1000 Steve Ballmer. Let's meet this week if you have time. I was hanging with Chris Paul last night.,14017,3872
709110258988351488,KANYE WEST,Sun Mar 13 20:13:55 +0000 2016,Steve Ballmer can I please redesign the Clippers mascot,36881,19430
709097596472729601,KANYE WEST,Sun Mar 13 19:23:36 +0000 2016,I believe in us,70089,73107
709097414741905408,KANYE WEST,Sun Mar 13 19:22:52 +0000 2016,I think human beings can create a Utopia.,27849,12872
709097042975576064,KANYE WEST,Sun Mar 13 19:21:24 +0000 2016,I care about quality,37549,28680
709096776352075776,KANYE WEST,Sun Mar 13 19:20:20 +0000 2016,I care about truth.,39150,34998
709096528271581184,KANYE WEST,Sun Mar 13 19:19:21 +0000 2016,I care about our future.,36951,28258
709096196690812929,KANYE WEST,Sun Mar 13 19:18:02 +0000 2016,I care about people.,35844,26258
709096057888710658,KANYE WEST,Sun Mar 13 19:17:29 +0000 2016,everyone can say anything they want about me but they could never say that I didn't care.,44005,37469
709095376830201856,KANYE WEST,Sun Mar 13 19:14:46 +0000 2016,I have discovered my single greatest quality.  I care.,65204,48845
709070533581774848,KANYE WEST,Sun Mar 13 17:36:03 +0000 2016,What do you mean by @JustinBieber was my favorite song of 2015,147461,98058
708678146808217600,KANYE WEST,Sat Mar 12 15:36:51 +0000 2016,mood https://t.co/msQNDIoHgA,62912,23253
708670997612908546,KANYE WEST,Sat Mar 12 15:08:26 +0000 2016,No more fashion calendar... I'm going Mad Max... 6 collections a year...3 albums a year,64397,33855
