id,canidate,created,text,likes,retweets
721495328097042432,Donald J. Trump,Sun Apr 17 00:27:45 +0000 2016,"Thank you California, Connecticut, Maryland, and Pennsylvania!
#MakeAmericaGreatAgain #Trump2016 https://t.co/pwFFHyzSE6",4928,1837
721491758236962816,Donald J. Trump,Sun Apr 17 00:13:34 +0000 2016,"See you tomorrow Dutchess County, 
New York! #NYPrimary #TrumpTrain
https://t.co/z9LOIkEyOq https://t.co/caMLixZfda",3433,1265
721485578278203397,Donald J. Trump,Sat Apr 16 23:49:01 +0000 2016,"Will be on Hannity tonight. Rebroadcast of town hall from Pittsburgh, PA. 8:00pm on FOX. Enjoy! #Trump2016 https://t.co/ZhaxXnAohm",4093,1313
721458878622363648,Donald J. Trump,Sat Apr 16 22:02:55 +0000 2016,"""@Ollie_621: @FoxNews @realDonaldTrump I think it's more like 64%. #VoteTrumpNY🗽 #MakeAmericaGreatAgain!",4079,1297
721450634520584192,Donald J. Trump,Sat Apr 16 21:30:09 +0000 2016,"""@AshleyEdam: New CBS Poll shows defections from Cruz's core supporters &amp; increased support for @realDonaldTrump ...Not surprising.""",6365,2299
721450217384579076,Donald J. Trump,Sat Apr 16 21:28:30 +0000 2016,"""@Trumptbird: Dear  I'm starting to believe that you're actually going to WIN! #Trump2016 #presidenttrump #primary https://t.co/l7IcxN64gz""",7723,3082
721450040552722433,Donald J. Trump,Sat Apr 16 21:27:48 +0000 2016,"""@Trump_Supporter: ""Trump Holds 66% Favorable Rating in New York – Leads Hillary Clinton by 19pts in Empire... https://t.co/sGAS3bFpCy",5448,2078
721401779276144640,Donald J. Trump,Sat Apr 16 18:16:01 +0000 2016,"THANK YOU, SYRACUSE! #NYPrimary
https://t.co/9oHimG204Y https://t.co/agy5p8NCox",5067,1701
721371631118127104,Donald J. Trump,Sat Apr 16 16:16:13 +0000 2016,"Just arrived in Syracuse, NY. Big crowd, great place! We will bring back the desperately needed jobs. #NYPrimary https://t.co/vOEQDsEAKC",11204,3346
721344559205244928,Donald J. Trump,Sat Apr 16 14:28:39 +0000 2016,"#ICYMI: @foxandfriends this morning. 
https://t.co/s5pUEdCWI0",5826,2170
721307257472999424,Donald J. Trump,Sat Apr 16 12:00:26 +0000 2016,I will be interviewed on @foxandfriends at 9:00 A.M. I will be talking about the rigged and boss controlled Republican primaries!,8239,2285
721306189867413504,Donald J. Trump,Sat Apr 16 11:56:11 +0000 2016,"""@dmharvey89: @realDonaldTrump @wdct8110 I just voted for @realDonaldTrump in Indiana. Everyone I talk to was following suit!"" Fantastic!",7423,2237
