id,canidate,created,text,likes,retweets
721507880168398848,Ted Cruz,Sun Apr 17 01:17:38 +0000 2016,"RT @Robeno: BREAKING: Cruz Wrangles Delegate SWEEP at Wyoming Convention

https://t.co/MoT52Q3Mht",0,172
721494028739436544,Ted Cruz,Sun Apr 17 00:22:35 +0000 2016,"RT @rareliberty: In Wyoming today, @TedCruz executed another @GOP delegate sweep. https://t.co/BLADmhY5DH",0,172
721480026089107456,Ted Cruz,Sat Apr 16 23:26:57 +0000 2016,RT @washingtonpost: Ted Cruz wins Wyoming delegates in a weekend convention rout https://t.co/suZJqXSqIl https://t.co/AiW8nSocAF,0,312
721471686244114432,Ted Cruz,Sat Apr 16 22:53:48 +0000 2016,Thank you #CruzCrew! Join our grassroots movement: https://t.co/R1EkwUz9Id https://t.co/nWQmIuZaEs,827,451
721463506986336256,Ted Cruz,Sat Apr 16 22:21:18 +0000 2016,Thank you Wyoming! Grassroots are rising up: https://t.co/kGrhVhFxLw #CruzCrew #ChooseCruz https://t.co/dgCPtHURKR,1276,688
721460978638979072,Ted Cruz,Sat Apr 16 22:11:16 +0000 2016,RT @CNNPolitics: #Breaking: Ted Cruz wins all 14 Wyoming delegates at the Wyoming Republican Convention https://t.co/6OZtrfIwim https://t.c…,0,530
721460715605741569,Ted Cruz,Sat Apr 16 22:10:13 +0000 2016,RT @ZekeJMiller: Breaking: Ted Cruz sweeps all 14 delegates in WY,0,346
721460252051308544,Ted Cruz,Sat Apr 16 22:08:22 +0000 2016,RT @rxpatriot46: No one who sits through this 46 minute video will be able to walk away with any opinion but that Ted Cruz is the... https:…,0,301
721460062355468289,Ted Cruz,Sat Apr 16 22:07:37 +0000 2016,"Dems kill jobs, ignore facts. CO2 is what every human breathes out; every plant, in turn,consumes CO2. #ScienceFacts https://t.co/0eESF2Oz08",1040,708
721459024797929472,Ted Cruz,Sat Apr 16 22:03:30 +0000 2016,"RT @LibertyShines1: Ted Cruz WOWS CNBC Panel With 46 Minutes of Economic Brilliance, Clarity, and Specificity https://t.co/N3TX6zb3jk
#Choo…",0,416
721439917033689089,Ted Cruz,Sat Apr 16 20:47:34 +0000 2016,"RT @TheBlazeRadio: .@tedcruz: @realDonaldTrump is terrified to debate me one-on-one.

@slaterradio 
https://t.co/k3KiDb0WvB",0,231
721437928216403968,Ted Cruz,Sat Apr 16 20:39:40 +0000 2016,"RT @APWestRegion: Ted Cruz talks about ""jobs, freedom and security"" Saturday at Wyoming presidential caucus https://t.co/dmV2l9Plyh https:/…",0,220
721431602807504896,Ted Cruz,Sat Apr 16 20:14:32 +0000 2016,RT @FoxNews: Fox News Poll: 61% say @tedcruz has the temperament to serve effectively as president. https://t.co/ziDNlAKFdZ,0,825
721429297936773122,Ted Cruz,Sat Apr 16 20:05:22 +0000 2016,"“The Cruz campaign was the best organized.” https://t.co/BdjuT2W6jT

Thank you #CruzCrew!",792,442
721414199948083201,Ted Cruz,Sat Apr 16 19:05:23 +0000 2016,RT @CNBCi: Ted Cruz: This is my No. 1 priority as president https://t.co/zzwfL5XtMJ https://t.co/11ZKNZXuVC,0,191
721410473367744512,Ted Cruz,Sat Apr 16 18:50:34 +0000 2016,RT @TheRightScoop: LOL! Ted Cruz campaign store now selling #TrumperTantrum baby bibs!! https://t.co/3GvG8gRpJa https://t.co/jPO6vgW2pi,0,382
721385827687739392,Ted Cruz,Sat Apr 16 17:12:38 +0000 2016,Whining so much you’re getting tired of whining? Get your #TrumperTantrum starter pack now: https://t.co/61dK4xyGQX https://t.co/a8s0qTl7oq,1565,1087
721380189855358976,Ted Cruz,Sat Apr 16 16:50:14 +0000 2016,RT @brucereddenjr: .@tedcruz it's a great day in #WY #CruzToVictory #CruzCrew #Cruz2016 #ChooseCruz https://t.co/rGztqk5ZVQ,0,232
721378226598117377,Ted Cruz,Sat Apr 16 16:42:26 +0000 2016,RT @ABCPolitics: WATCH LIVE: @tedcruz addresses 2016 Wyoming State Convention https://t.co/b7ZTjpJ2Ti https://t.co/8p2poqKlqC,0,169
721378139780153344,Ted Cruz,Sat Apr 16 16:42:05 +0000 2016,RT @DHBerman: Ted Cruz rally breaks out at the Wyoming GOP convention https://t.co/Wudnj4GJQO,0,244
721377152118038528,Ted Cruz,Sat Apr 16 16:38:10 +0000 2016,"RT @betsy_klein: Lynne Cheney introducing @tedcruz: ""He is a Westerner and he is attuned to protecting our values."" https://t.co/LNy32erUkU",0,239
721361280766910464,Ted Cruz,Sat Apr 16 15:35:06 +0000 2016,RT @GMA: LIVE on Monday: A @GMA Town Hall with Presidential candidate @TedCruz! #CruzOnGMA https://t.co/f4DKaMlf9Z,0,296
721334158560075776,Ted Cruz,Sat Apr 16 13:47:19 +0000 2016,RT @betsy_klein: Signs of organization for @tedcruz at the Wyoming GOP convention - he speaks here later this morning https://t.co/A3j5xZxO…,0,354
721170881272152064,Ted Cruz,Sat Apr 16 02:58:31 +0000 2016,RT @FoxNews: .@tedcruz: “I believe we should stand unapologetically with the nation of Israel.” #Hannity https://t.co/D5DlBFoCen,0,550
721170375166414850,Ted Cruz,Sat Apr 16 02:56:30 +0000 2016,"RT @FoxNews: .@tedcruz: “I’ve spent my whole life fighting for the Bill of Rights and Constitution."" #Hannity https://t.co/YDiHO48WA3",0,599
721170257293942784,Ted Cruz,Sat Apr 16 02:56:02 +0000 2016,RT @FoxNews: .@tedcruz: “We have got to unify the party to win.” #Hannity https://t.co/fagMT2wyyO,0,370
721170141438828545,Ted Cruz,Sat Apr 16 02:55:35 +0000 2016,RT @FoxNews: .@tedcruz: “Is it asking too much to have a president actually defend the United States of America?” #Hannity https://t.co/Wiu…,0,506
721170077282750464,Ted Cruz,Sat Apr 16 02:55:19 +0000 2016,"RT @FoxNews: .@tedcruz: “The heart of our economy, it doesn’t come from Washington D.C. It comes from small businesses all across this coun…",0,340
721170032651161600,Ted Cruz,Sat Apr 16 02:55:09 +0000 2016,RT @FoxNews: .@tedcruz: “There is only one way to turn around the debt and that is to bring economic growth back.” #Hannity https://t.co/qO…,0,364
721151451486007296,Ted Cruz,Sat Apr 16 01:41:19 +0000 2016,"RT @weeklystandard: ""My number one priority as president will be economic growth""
 —@TedCruz. 

Here's why: https://t.co/Gxsw8rXxBt https:/…",0,373
721145104610828288,Ted Cruz,Sat Apr 16 01:16:05 +0000 2016,"RT @LaurenScala4NY: Billy Joel just dedicated tonight's performance of ""New York State of Mind"" to Ted Cruz. 😂 #TheGarden https://t.co/RV4W…",0,402
721131280633503745,Ted Cruz,Sat Apr 16 00:21:09 +0000 2016,RT @AllisonW_News: Crowd cheers as @tedcruz makes his way to the stage for his rally. #CruzinRoc #election2016 @News_8 https://t.co/DvyawBM…,0,318
721130392309227520,Ted Cruz,Sat Apr 16 00:17:38 +0000 2016,RT @StevBrown_: At the @tedcruz rally in Rochester.  Waiting for @SenTedCruz.  Found another courageous conservative @PJHuber1611 https://t…,0,194
721130191238471680,Ted Cruz,Sat Apr 16 00:16:50 +0000 2016,RT @Bladesinger6640: #Rochester NY for @tedcruz https://t.co/pAkTQLpkOH,0,313
721130082043973634,Ted Cruz,Sat Apr 16 00:16:24 +0000 2016,RT @brucereddenjr: .@tedcruz great to be in Rochester #NY tonight! #CruzToVictory #CruzCrew #Cruz2016 #ChooseCruz https://t.co/EyODbtMz3a,0,260
721129995481907200,Ted Cruz,Sat Apr 16 00:16:03 +0000 2016,RT @sbauerAP: Rochester crowd cheers loudly when @tedcruz promises not to compromise away rights to keep and bear firearms,0,293
721126024944099328,Ted Cruz,Sat Apr 16 00:00:16 +0000 2016,#CruzCrew: Join us live! https://t.co/7A9Mz8flOx,431,216
721123222473805824,Ted Cruz,Fri Apr 15 23:49:08 +0000 2016,RT @FallonTonight: Presidential Candidate Sen. @tedcruz gets a call from Donald Trump before his interview on The Tonight Show: https://t.c…,0,259
721118921508700161,Ted Cruz,Fri Apr 15 23:32:03 +0000 2016,RT @Texastweetybird: AWESOME: New York Sun ENDORSES Ted Cruz for president! https://t.co/UHG0v6rd2m,0,374
